period,value
1946-05,148334
1946-04,140196
1946-03,136835
1946-02,132129
1946-01,143368
1945-12,138627
1945-11,135511
1945-10,132800
1945-09,132690
1945-08,151198
1945-07,151803
1945-06,145783
1945-05,151180
1945-04,144219
1945-03,148935
1945-02,133463
1945-01,147446
1944-12,145322
1944-11,142463
1944-10,146911
1944-09,142985
1944-08,145407
1944-07,141438
1944-06,137263
1944-05,141189
1944-04,133588
1944-03,136814
1944-02,128842
1944-01,135682
1943-12,135288
1943-11,133824
1943-10,136837
1943-09,130564
1943-08,130796
1943-07,127629
1943-06,120111
1943-05,123957
1943-04,119100
1943-03,121648
1943-02,108487
1943-01,117372
1942-12,120519
1942-11,116101
1942-10,120311
1942-09,115801
1942-08,120429
1942-07,111782
1942-06,108595
1942-05,110192
1942-04,105053
1942-03,114473
1942-02,113961
1942-01,128262
1941-12,128293
1941-11,123355
1941-10,126145
1941-09,119446
1941-08,121354
1941-07,118251
1941-06,115027
1941-05,116976
1941-04,111080
1941-03,112817
1941-02,100791
1941-01,110647
1940-12,135152
1940-11,133646
1940-10,136503
1940-09,130407
1940-08,130633
1940-07,127493
1940-06,119302
1940-05,123854
1940-04,119000
1940-03,121560
1940-02,108399
1940-01,117227
1939-12,114810
1939-11,111887
1939-10,114198
1939-09,108168
1939-08,80865
1939-07,110937
1939-06,104607
1939-05,110541
1939-04,105510
1939-03,106768
1939-02,93475
1939-01,102490
1938-12,102287
1938-11,98567
1938-10,101830
1938-09,98661
1938-08,106165
1938-07,102898
1938-06,94277
1938-05,98674
1938-04,102702
1938-03,106524
1938-02,94662
1938-01,106007
1937-12,106579
1937-11,104206
1937-10,110911
1937-09,109980
1937-08,115090
1937-07,110721
1937-06,105812
1937-05,110911
1937-04,104979
1937-03,106724
1937-02,93173
1937-01,98567
1936-12,97652
1936-11,91018
1936-10,95795
1936-09,90972
1936-08,95090
1936-07,92075
1936-06,90185
1936-05,93739
1936-04,90479
1936-03,90568
1936-02,82120
1936-01,88820
1935-12,88711
1935-11,86476
1935-10,88160
1935-09,84109
1935-08,84816
1935-07,85485
1935-06,82338
1935-05,82454
1935-04,78427
1935-03,81488
1935-02,72763
1935-01,78715
1934-12,74797
1934-11,72399
1934-10,76593
1934-09,75759
1934-08,79105
1934-07,81339
1934-06,79636
1934-05,79966
1934-04,75645
1934-03,75426
1934-02,65383
1934-01,72017
1933-12,72157
1933-11,69966
1933-10,76077
1933-09,78321
1933-08,85485
1933-07,85321
1933-06,84386
1933-05,86638
1933-04,65709
1933-03,75185
1933-02,61252
1933-01,65159
1932-12,58295
1932-11,63630
1932-10,65598
1932-09,65518
1932-08,66568
1932-07,66655
1932-06,65144
1932-05,68854
1932-04,67915
1932-03,67456
1932-02,62512
1932-01,67014
1931-12,73327
1931-11,73456
1931-10,73297
1931-09,64378
1931-08,68014
1931-07,78210
1931-06,75011
1931-05,76822
1931-04,72860
1931-03,69429
